red_proportion_tt,mafia_win_rate,total_tt_edges,red_tt_edges,green_tt_edges,neutral_tm_mm_edges
0.01,0.20068,190,1,189,41
0.02,0.21394,190,3,187,41
0.03,0.23102,190,5,185,41
0.04,0.24084,190,7,183,41
0.05,0.25398,190,9,181,41
0.06,0.27404,190,11,179,41
0.07,0.27942,190,13,177,41
0.08,0.2918,190,15,175,41
0.09,0.30316,190,17,173,41
0.1,0.30368,190,19,171,41
0.11,0.31618,190,20,170,41
0.12,0.32558,190,22,168,41
0.13,0.33278,190,24,166,41
0.14,0.32546,190,26,164,41
0.15,0.34428,190,28,162,41
0.16,0.3415,190,30,160,41
0.17,0.3579,190,32,158,41
0.18,0.35602,190,34,156,41
0.19,0.36574,190,36,154,41
0.2,0.36926,190,38,152,41
0.21,0.3709,190,39,151,41
0.22,0.37248,190,41,149,41
0.23,0.38044,190,43,147,41
0.24,0.39232,190,45,145,41
0.25,0.39126,190,47,143,41
0.26,0.40112,190,49,141,41
0.27,0.40666,190,51,139,41
0.28,0.4078,190,53,137,41
0.29,0.40734,190,55,135,41
0.3,0.41536,190,57,133,41
0.31,0.41788,190,58,132,41
0.32,0.42388,190,60,130,41
0.33,0.43192,190,62,128,41
0.34,0.42738,190,64,126,41
0.35000000000000003,0.43228,190,66,124,41
0.36,0.43348,190,68,122,41
0.37,0.44234,190,70,120,41
0.38,0.44372,190,72,118,41
0.39,0.4432,190,74,116,41
0.4,0.44766,190,76,114,41
0.41000000000000003,0.45078,190,77,113,41
0.42,0.44958,190,79,111,41
0.43,0.45762,190,81,109,41
0.44,0.46166,190,83,107,41
0.45,0.46244,190,85,105,41
0.46,0.46332,190,87,103,41
0.47000000000000003,0.47046,190,89,101,41
0.48,0.47274,190,91,99,41
0.49,0.47438,190,93,97,41
0.5,0.47576,190,95,95,41
0.51,0.47472,190,96,94,41
0.52,0.48502,190,98,92,41
0.53,0.48304,190,100,90,41
0.54,0.48606,190,102,88,41
0.55,0.49008,190,104,86,41
0.56,0.49532,190,106,84,41
0.5700000000000001,0.49388,190,108,82,41
0.58,0.49868,190,110,80,41
0.59,0.50694,190,112,78,41
0.6,0.50584,190,114,76,41
0.61,0.50954,190,115,75,41
0.62,0.51104,190,117,73,41
0.63,0.51088,190,119,71,41
0.64,0.51686,190,121,69,41
0.65,0.51644,190,123,67,41
0.66,0.51882,190,125,65,41
0.67,0.5226,190,127,63,41
0.68,0.53022,190,129,61,41
0.6900000000000001,0.53192,190,131,59,41
0.7000000000000001,0.54116,190,133,57,41
0.71,0.53946,190,134,56,41
0.72,0.5415,190,136,54,41
0.73,0.54508,190,138,52,41
0.74,0.5429,190,140,50,41
0.75,0.55528,190,142,48,41
0.76,0.55584,190,144,46,41
0.77,0.56086,190,146,44,41
0.78,0.56606,190,148,42,41
0.79,0.57596,190,150,40,41
0.8,0.57318,190,152,38,41
0.81,0.57904,190,153,37,41
0.8200000000000001,0.58142,190,155,35,41
0.8300000000000001,0.5849,190,157,33,41
0.84,0.59292,190,159,31,41
0.85,0.60824,190,161,29,41
0.86,0.61072,190,163,27,41
0.87,0.61588,190,165,25,41
0.88,0.61716,190,167,23,41
0.89,0.63196,190,169,21,41
0.9,0.63234,190,171,19,41
0.91,0.64474,190,172,18,41
0.92,0.6551,190,174,16,41
0.93,0.66384,190,176,14,41
0.9400000000000001,0.67428,190,178,12,41
0.9500000000000001,0.68634,190,180,10,41
0.96,0.7002,190,182,8,41
0.97,0.71272,190,184,6,41
0.98,0.72894,190,186,4,41
0.99,0.74986,190,188,2,41
1.0,0.76648,190,190,0,41
